,t1,t2,t3,t4
0,1708607411.313488,1708607404.664236,1708607404.667598,1708607411.393995
0,1708607411.418223,1708607404.76714,1708607404.7752829,1708607411.5107
0,1708607411.535607,1708607404.885634,1708607404.894538,1708607411.610573
0,1708607411.63015,1708607404.979428,1708607404.982857,1708607411.702405
0,1708607411.721072,1708607405.070726,1708607405.076103,1708607411.799312
0,1708607411.823066,1708607405.174011,1708607405.18657,1708607411.907856
0,1708607411.930926,1708607405.280477,1708607405.284733,1708607412.014766
0,1708607412.048997,1708607405.398681,1708607405.403187,1708607412.123576
0,1708607412.146099,1708607405.502916,1708607405.510766,1708607412.250848
0,1708607412.278839,1708607405.628618,1708607405.628618,1708607412.352344
0,1708607412.370187,1708607405.720547,1708607405.736571,1708607412.452656
0,1708607412.474843,1708607405.825025,1708607405.831558,1708607412.549438
0,1708607412.566952,1708607405.915512,1708607405.918867,1708607412.645559
0,1708607412.672639,1708607406.021731,1708607406.034801,1708607412.753774
0,1708607412.779289,1708607406.128358,1708607406.1358788,1708607412.858469
0,1708607412.885419,1708607406.235557,1708607406.238781,1708607412.966567
0,1708607412.992764,1708607406.343694,1708607406.347917,1708607413.069099
0,1708607413.088437,1708607406.439203,1708607406.44449,1708607413.174014
0,1708607413.201509,1708607406.551739,1708607406.559293,1708607413.295363
0,1708607413.322217,1708607406.671412,1708607406.675668,1708607413.404498
0,1708607413.429086,1708607406.779537,1708607406.786305,1708607413.506585
0,1708607413.529952,1708607406.878868,1708607406.8873742,1708607413.609581
0,1708607413.634257,1708607406.984958,1708607407.000263,1708607413.725737
0,1708607413.745439,1708607407.0966,1708607407.112231,1708607413.843528
0,1708607413.863199,1708607407.212077,1708607407.220644,1708607413.941992
0,1708607413.966726,1708607407.316157,1708607407.32046,1708607414.045425
0,1708607414.068553,1708607407.419687,1708607407.423564,1708607414.161269
0,1708607414.183744,1708607407.538902,1708607407.547517,1708607414.271389
0,1708607414.289025,1708607407.637341,1708607407.641657,1708607414.364839
0,1708607414.382581,1708607407.731885,1708607407.7362869,1708607414.459277
0,1708607414.479974,1708607407.829695,1708607407.839509,1708607414.564723
0,1708607414.590713,1708607407.942333,1708607407.9476209,1708607414.667293
0,1708607414.688902,1708607408.039711,1708607408.049584,1708607414.772497
0,1708607414.795645,1708607408.146574,1708607408.151897,1708607414.875688
0,1708607414.901112,1708607408.252285,1708607408.25886,1708607414.982476
0,1708607415.005269,1708607408.354539,1708607408.3671038,1708607415.085667
0,1708607415.109097,1708607408.460897,1708607408.468201,1708607415.184902
0,1708607415.209752,1708607408.558823,1708607408.565324,1708607415.290213
0,1708607415.31284,1708607408.662853,1708607408.666268,1708607415.388922
0,1708607415.409463,1708607408.757825,1708607408.763273,1708607415.487772
0,1708607415.51422,1708607408.865372,1708607408.8760428,1708607415.598728
0,1708607415.623404,1708607408.972909,1708607408.985632,1708607415.698265
0,1708607415.715793,1708607409.065221,1708607409.069416,1708607415.793123
0,1708607415.812242,1708607409.162783,1708607409.1785429,1708607415.903779
0,1708607415.928749,1708607409.278177,1708607409.2869241,1708607416.009503
0,1708607416.034076,1708607409.382792,1708607409.388064,1708607416.105399
0,1708607416.122928,1708607409.471193,1708607409.491445,1708607416.208786
0,1708607416.230597,1708607409.5808,1708607409.59198,1708607416.313772
0,1708607416.332158,1708607409.68642,1708607409.697317,1708607416.410869
0,1708607416.431917,1708607409.788671,1708607409.7973561,1708607416.521023
0,1708607416.545601,1708607409.896671,1708607409.9122741,1708607416.646175
0,1708607416.668719,1708607410.020569,1708607410.026971,1708607416.746941
0,1708607416.765835,1708607410.114193,1708607410.114193,1708607416.845762
0,1708607416.869695,1708607410.221003,1708607410.2295961,1708607416.951017
0,1708607416.972663,1708607410.323612,1708607410.336313,1708607417.054078
0,1708607417.079349,1708607410.433882,1708607410.437703,1708607417.16041
0,1708607417.181105,1708607410.534062,1708607410.5460958,1708607417.273585
0,1708607417.29914,1708607410.651051,1708607410.654376,1708607417.373825
0,1708607417.391851,1708607410.74019,1708607410.746669,1708607417.471169
0,1708607417.497762,1708607410.847608,1708607410.8513472,1708607417.573328
0,1708607417.589818,1708607410.938866,1708607410.942827,1708607417.673792
0,1708607417.695566,1708607411.054585,1708607411.067997,1708607417.785806
0,1708607417.810084,1708607411.159652,1708607411.163871,1708607417.88437
0,1708607417.900687,1708607411.251072,1708607411.264158,1708607417.985782
0,1708607418.022164,1708607411.375877,1708607411.3844738,1708607418.109208
0,1708607418.135385,1708607411.487464,1708607411.490829,1708607418.217888
0,1708607418.243736,1708607411.594733,1708607411.598024,1708607418.32873
0,1708607418.354735,1708607411.704349,1708607411.704349,1708607418.436914
0,1708607418.462541,1708607411.810928,1708607411.8153062,1708607418.540458
0,1708607418.561836,1708607411.912667,1708607411.9168851,1708607418.643096
0,1708607418.668319,1708607412.017277,1708607412.021608,1708607418.751982
0,1708607418.780912,1708607412.139659,1708607412.148213,1708607418.873276
0,1708607418.898618,1708607412.249934,1708607412.258623,1708607418.979677
0,1708607419.000063,1708607412.34975,1708607412.362912,1708607419.079258
0,1708607419.106144,1708607412.456108,1708607412.460371,1708607419.18933
0,1708607419.214336,1708607412.564966,1708607412.5723379,1708607419.287142
0,1708607419.306928,1708607412.657014,1708607412.6638548,1708607419.388581
0,1708607419.413976,1708607412.764247,1708607412.770712,1708607419.496646
0,1708607419.521258,1708607412.869516,1708607412.8769388,1708607419.600353
0,1708607419.625477,1708607412.974736,1708607412.978155,1708607419.704862
0,1708607419.730777,1708607413.07732,1708607413.0890732,1708607419.807897
0,1708607419.831817,1708607413.181543,1708607413.188147,1708607419.913565
0,1708607419.941107,1708607413.289725,1708607413.298244,1708607420.013517
0,1708607420.030237,1708607413.378638,1708607413.378638,1708607420.110211
0,1708607420.133445,1708607413.483645,1708607413.487905,1708607420.212802
0,1708607420.235787,1708607413.586989,1708607413.586989,1708607420.322727
0,1708607420.348345,1708607413.698192,1708607413.7037349,1708607420.42599
0,1708607420.450134,1708607413.798402,1708607413.807797,1708607420.531251
0,1708607420.557601,1708607413.908989,1708607413.919055,1708607420.642137
0,1708607420.66669,1708607414.015159,1708607414.0219588,1708607420.745462
0,1708607420.769328,1708607414.117388,1708607414.127423,1708607420.849709
0,1708607420.873653,1708607414.225031,1708607414.2287,1708607420.95304
0,1708607420.976382,1708607414.327638,1708607414.327638,1708607421.05698
0,1708607421.081391,1708607414.432408,1708607414.44419,1708607421.174517
0,1708607421.200334,1708607414.551542,1708607414.55849,1708607421.287166
0,1708607421.313196,1708607414.664336,1708607414.67302,1708607421.392715
0,1708607421.41264,1708607414.76491,1708607414.777166,1708607421.508801
0,1708607421.530837,1708607414.88146,1708607414.888186,1708607421.6142
0,1708607421.640489,1708607414.988132,1708607415.000959,1708607421.71807
0,1708607421.741011,1708607415.091692,1708607415.095054,1708607421.81877
0,1708607421.842598,1708607415.193417,1708607415.201905,1708607421.924268
0,1708607421.947298,1708607415.296022,1708607415.310905,1708607422.033469
0,1708607422.060163,1708607415.410389,1708607415.414743,1708607422.138041
0,1708607422.15579,1708607415.504907,1708607415.5119278,1708607422.238429
0,1708607422.264124,1708607415.614275,1708607415.618574,1708607422.341719
0,1708607422.361882,1708607415.712703,1708607415.717015,1708607422.441242
0,1708607422.460561,1708607415.809266,1708607415.8125632,1708607422.533832
0,1708607422.554082,1708607415.905349,1708607415.912057,1708607422.632213
0,1708607422.652079,1708607416.001774,1708607416.005367,1708607422.724016
0,1708607422.743066,1708607416.093959,1708607416.0971992,1708607422.827868
0,1708607422.85046,1708607416.199154,1708607416.202554,1708607422.92835
0,1708607422.952805,1708607416.304442,1708607416.3087199,1708607423.036287
0,1708607423.062861,1708607416.412391,1708607416.416743,1708607423.148197
0,1708607423.172893,1708607416.524314,1708607416.534118,1708607423.252118
0,1708607423.271922,1708607416.627217,1708607416.6306632,1708607423.355279
0,1708607423.378594,1708607416.728835,1708607416.7386372,1708607423.462682
0,1708607423.487595,1708607416.837907,1708607416.837907,1708607423.57093
0,1708607423.59495,1708607416.943924,1708607416.94771,1708607423.686244
0,1708607423.711683,1708607417.063141,1708607417.075951,1708607423.797598
0,1708607423.822159,1708607417.176424,1708607417.180718,1708607423.911407
0,1708607423.937968,1708607417.288146,1708607417.296775,1708607424.020061
0,1708607424.046686,1708607417.397332,1708607417.402691,1708607424.127516
0,1708607424.154331,1708607417.508124,1708607417.508124,1708607424.233304
0,1708607424.252073,1708607417.604241,1708607417.607986,1708607424.335165
0,1708607424.360592,1708607417.711184,1708607417.711184,1708607424.439903
0,1708607424.46829,1708607417.816312,1708607417.824898,1708607424.551058
0,1708607424.575949,1708607417.924958,1708607417.93333,1708607424.670774
0,1708607424.69619,1708607418.045243,1708607418.051972,1708607424.777709
0,1708607424.80286,1708607418.151993,1708607418.1553102,1708607424.881917
0,1708607424.908927,1708607418.258662,1708607418.258662,1708607424.992371
0,1708607425.017535,1708607418.36677,1708607418.36677,1708607425.099081
0,1708607425.124136,1708607418.478839,1708607418.4890409,1708607425.200527
0,1708607425.218915,1708607418.571718,1708607418.580385,1708607425.299705
0,1708607425.318462,1708607418.672065,1708607418.675353,1708607425.392532
0,1708607425.41104,1708607418.764356,1708607418.7729728,1708607425.492111
0,1708607425.50912,1708607418.856244,1708607418.863714,1708607425.590936
0,1708607425.609814,1708607418.960302,1708607418.9640322,1708607425.683335
0,1708607425.701947,1708607419.051766,1708607419.0551388,1708607425.773911
0,1708607425.791575,1708607419.141859,1708607419.1454852,1708607425.870227
0,1708607425.893535,1708607419.244708,1708607419.2489212,1708607425.972128
0,1708607425.993831,1708607419.340905,1708607419.349599,1708607426.07496
0,1708607426.099716,1708607419.448413,1708607419.451804,1708607426.173523
0,1708607426.191119,1708607419.539497,1708607419.54754,1708607426.2659
0,1708607426.281644,1708607419.632829,1708607419.641363,1708607426.362096
0,1708607426.383685,1708607419.734488,1708607419.74516,1708607426.463736
0,1708607426.487127,1708607419.836615,1708607419.839998,1708607426.566147
