,t1,t2,t3,t4
0,1708611840.54426,1708611839.371415,1708611839.378067,1708611840.780935
0,1708611840.921139,1708611839.60639,1708611839.61065,1708611841.021788
0,1708611841.284161,1708611839.986041,1708611839.986041,1708611841.399209
0,1708611841.541091,1708611840.216609,1708611840.216609,1708611841.629559
0,1708611841.764525,1708611840.814498,1708611840.814498,1708611842.230733
0,1708611842.469312,1708611842.376937,1708611842.380308,1708611843.784748
0,1708611844.001593,1708611842.854112,1708611842.860828,1708611844.270944
0,1708611844.394802,1708611843.070589,1708611843.078059,1708611844.487733
0,1708611844.751767,1708611843.468204,1708611843.475665,1708611844.884213
0,1708611845.558632,1708611844.287305,1708611844.2978282,1708611845.700274
0,1708611845.84121,1708611844.515366,1708611844.5220852,1708611846.476875
0,1708611846.722102,1708611845.39855,1708611845.39855,1708611846.810258
0,1708611847.052037,1708611845.92284,1708611845.92284,1708611847.339997
0,1708611847.549605,1708611846.338048,1708611846.342256,1708611847.750801
0,1708611847.98667,1708611846.748014,1708611846.762284,1708611848.169121
0,1708611848.315874,1708611847.154727,1708611847.154727,1708611848.574196
0,1708611848.731608,1708611847.564073,1708611847.5677152,1708611848.978835
0,1708611849.108329,1708611847.790926,1708611847.796228,1708611849.196734
0,1708611849.334154,1708611848.003878,1708611848.0087032,1708611849.422843
0,1708611849.554052,1708611848.382761,1708611848.382761,1708611849.798861
0,1708611849.984723,1708611848.793165,1708611848.804637,1708611850.224225
0,1708611850.38877,1708611849.202938,1708611849.202938,1708611850.620526
0,1708611850.85415,1708611849.850742,1708611849.8561502,1708611851.273405
0,1708611851.504602,1708611850.84077,1708611850.844777,1708611852.263205
0,1708611852.405044,1708611851.250772,1708611851.250772,1708611852.662627
0,1708611852.851193,1708611851.658966,1708611851.6679971,1708611853.085914
0,1708611853.232252,1708611851.903053,1708611851.9062731,1708611853.322628
0,1708611853.477131,1708611852.150514,1708611852.1542418,1708611853.578663
0,1708611853.725717,1708611852.478733,1708611852.478733,1708611853.891473
0,1708611854.029528,1708611852.700878,1708611852.709215,1708611854.107771
0,1708611854.258875,1708611852.940809,1708611852.945118,1708611854.356376
0,1708611854.493011,1708611854.322441,1708611854.32903,1708611855.82949
0,1708611856.07735,1708611854.937264,1708611854.940558,1708611856.349642
0,1708611856.505772,1708611855.345893,1708611855.358599,1708611856.760563
0,1708611856.906697,1708611855.579644,1708611855.585838,1708611856.991258
0,1708611857.123789,1708611855.960646,1708611855.96603,1708611857.372903
0,1708611857.516819,1708611856.195167,1708611856.1988711,1708611857.601701
0,1708611857.731613,1708611856.402522,1708611856.402522,1708611857.815166
0,1708611857.974356,1708611856.65124,1708611856.65964,1708611858.057235
0,1708611858.191402,1708611856.864418,1708611856.875493,1708611858.273879
0,1708611858.418572,1708611857.09834,1708611857.113552,1708611858.520668
0,1708611858.650328,1708611857.394385,1708611857.394385,1708611858.898853
